Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,Hybrid China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Netherlands,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China,Sweden,Mexico,New Zealand,Hong Kong
2013,8,118.6675224,124.9669548,192.5097504,187.2889709,143.0760651,98.1760025,128.3250903,57.76369729,143.9303741,131.1768646,88.26884481,188.8295746,133.9090519,126.3122559,82.44829469,98.12825775,161.3137625,207.5593414,129.3139954,119.9849071,217.5097809,108.7583694,139.7595367,100.9112249,81.39985707,37.2593956,23.7181,124.1035859
2013,9,132.749911,132.1107325,125.5666428,126.5808182,133.109436,78.45075989,97.72145992,129.9487039,244.4139404,130.391037,82.1285025,160.8184204,135.2300322,170.2308655,100.5652124,122.0067749,133.5053986,214.216629,132.1534882,122.8306349,181.1646881,179.8897247,69.790802,100.9327663,102.3390661,49.41802979,53.61366,171.4825173
2013,10,157.5805985,151.3731674,108.5857544,108.8032913,264.0227966,98.40614319,144.6296218,93.89862247,287.1696472,209.0070496,108.3819157,107.3188858,160.5320249,153.3420868,104.4122484,143.5281525,92.30686697,153.6882477,127.7625504,143.1537283,229.4941559,225.3733063,97.59776306,153.1258459,93.27239617,79.34555817,36.38814,151.8233616
2013,11,96.06207777,95.87349471,74.09328461,106.0886917,135.2249756,108.0075455,115.7180528,48.97093117,185.9593964,110.1591949,92.1756908,79.37088776,120.5732377,187.1767426,70.86726691,84.72370911,101.5052622,77.41041565,133.3759308,92.82484196,176.4741364,89.91516876,81.02541351,120.5846365,85.97449573,49.47553635,14.05068,77.7163607
2013,12,118.3677113,120.3810485,115.9981384,116.3469467,132.9837036,134.9224091,142.6910725,49.25338417,223.9708862,166.1023712,64.23255247,103.1948166,223.193475,94.3384552,89.2788179,125.7977142,96.39313975,206.5607758,136.3849182,116.60972,190.2335052,115.0207443,137.2324524,124.1559747,100.3721376,15.29519844,41.28948,148.5776015
2014,1,110.9157392,112.7158391,77.63706207,136.6474304,132.7874451,86.90003204,114.1891766,114.0593669,221.4137878,106.1858063,116.1419929,95.17993927,66.10054073,116.0104752,101.3708832,105.6411285,104.9799424,255.2407227,131.9276276,103.360693,206.4477844,107.7051392,103.4443741,103.5485547,108.4015776,46.55311584,25.48875,176.6275624
2014,2,97.99211604,95.98148904,68.17382813,170.0154114,165.5119019,88.356987,76.09082903,79.40286696,139.9690857,134.5987244,83.30682001,78.70988464,132.7586305,136.1900787,127.7859093,80.79807281,87.28055095,162.4572601,115.3316116,88.20199914,181.9648285,93.36928558,66.52954865,70.57914407,110.8505321,37.62532806,46.33067,195.7939805
2014,3,113.3162122,111.4390497,82.71459961,251.1715546,199.5241699,119.4911804,125.5935024,96.49331811,221.9961395,130.7783508,84.61095085,66.12667084,152.8854426,128.5175018,111.2694853,55.90073013,99.60995971,123.9875946,113.530983,102.8303418,217.1248932,101.0187302,134.9426117,99.97414417,93.64988254,25.80053902,16.79883,101.2194661
2014,4,101.1463933,104.997909,37.09054184,150.5235901,123.9258118,129.5172729,123.1020922,61.61810854,175.9914551,93.58223724,71.23087325,78.73886108,96.04347815,102.5639648,113.3560436,65.95553589,74.54032087,254.0847168,119.6224442,92.30846022,114.7957458,96.99343109,84.26825714,129.5463889,108.020223,21.63243866,23.25617,84.02492528
2014,5,103.7185061,105.9838886,82.85413361,97.17090607,126.0841217,117.4437485,86.88017652,89.48858512,188.4292297,129.2180023,84.6486211,88.94390106,118.3074544,105.4737854,87.97944143,66.65896606,80.01431668,370.5062256,116.7885132,88.15965181,198.7409363,102.0150452,80.76277161,77.43149688,88.4928159,32.30870819,38.87017,145.1180915
